theory,source,category,known_result,fractal_coherence,fractal_time,fractal_peak_scale,peak_alpha,conv_rate,sg_corr,dim_scale,cqc,stability,entropy,spectrum,quantum_fidelity,quantum_time,consistency,coupling_strength,phase_trans,spec_corr,timestamp
Ulam Packing Conjecture,Ulam (1976),Geometry,Open,100,0.7254242897033691,0,2.33,0,0.33000000000000007,0.1111111111111111,13513.951391740728,0.8987863963601805,1.1157600671663688,"[44.80181312412695, 24.873189068104843, 15.832107167040835, 12.033215523293658, 10.389632181179545]",9.5703125,0.12639331817626953,100,0,0,0.9986396460959136,5/23/2025 4:06
Kissing Number Problem,Unknown (1900s),Geometry,Open,100,0.6818363666534424,0,2.38,0,0.3382818284590452,0.1111111111111111,35849.60414719415,0.15472211364149394,1.105151253151456,"[72.12852638634887, 40.935597283648605, 25.995015377148153, 19.745895639949513, 17.045787586290675]",11.69433594,0.13365554809570312,100,0,0,0.9978685255435028,5/23/2025 4:06
Hopf Invariant One,Hopf (1931),Topology,Solved by Adams,100,0.6883480548858643,0,1.45,0,0.050000000000000044,0.1111111111111111,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",14.89257813,0.13157892227172852,100,0,0,0.9373998780369407,5/23/2025 4:06
Smooth 4D Poincare,Unknown (1960s),Topology,Open,100,0.6745190620422363,0,2.05,0,0.05,0.1111111111111111,12304.333678705705,0.9067665020881595,1.1176877760265622,"[42.82841532301257, 23.703836466989237, 15.090066092935661, 11.469942319493244, 9.90347715839946]",20.1171875,0.1295638084411621,100,0,0,0.9987310209763208,5/23/2025 4:06
Triangulation Conjecture,Unknown (1970s),Topology,Open,100,0.6568686962127686,0,2.41,0,0.30828182845904495,0.1111111111111111,18931.85633094382,0.9828294935404553,1.110344544809898,"[52.74044977708975, 29.561791256496836, 18.803719955488592, 14.288766126419901, 12.336316955525701]",12.42675781,0.14528322219848633,100,0,0,0.9983330664863166,5/23/2025 4:06
Ehrenpreis Conjecture,Ehrenpreis (1970s),Geometry,Open,100,0.685448408,0,2.37,0,0.348281828,0.1111111111111111,31494.420149115762,0.37252307133302665,1.1057705651041632,"[67.66563049242802, 38.325242535952306, 24.346274248479897, 18.494905190796473, 15.96623522257997]",11.18164063,0.12322449684143066,100,0,0,0.9979496562435101,5/23/2025 4:06
Invariant Subspace Problem,von Neumann (1935),Analysis,Open,100,0.6962196826934814,0,1.25,0,0.25,0.1111111111111111,35189.56918483687,0.063209073,1.1052284909121504,"[71.46986838872067, 40.55059669644378, 25.751896672024735, 19.561433753297514, 16.88660626302963]",6.909179688,0.20906591415405273,100,0,0,0.9978797551987425,5/23/2025 4:06
Entropy Conjecture,Shub (1974),Dynamical Systems,Open,100,1.2029101848602295,0,1.32,0,0.17999999999999994,0.055555556,20086.354453645155,0.49384779749636876,1.1096110942372255,"[54.282397238974085, 30.46996545347542, 19.378735902476926, 14.725186819890377, 12.712965064102304]",9.057617188,0.12114644050598145,100,0,0,0.9982833023607176,5/23/2025 4:06
MLC Conjecture,Douady & Hubbard (1980s),Complex Dynamics,Open,100,0.6674149036407471,0,2.2199999999999998,0,0.21999999999999975,0.058823529411764705,20290.97583372902,0.7923508446572085,1.1094914046629993,"[54.551159646668935, 30.628186007944613, 19.478897158829692, 14.801205119589572, 12.77857146180426]",16.28417969,0.12854838371276855,100,0,0,0.9982749129219256,5/23/2025 4:06
Complex Jacobian Conjecture,Keller (1939),Complex Analysis,Open,100,0.6813302040100098,0,1.29,0,0.20999999999999996,0.058823529411764705,31716.08962237414,0.3014394737745148,1.1057320624452636,"[67.89978170668215, 38.462299210845735, 24.43286328226502, 18.560607305548583, 16.022934022838196]",7.958984375,0.29475927352905273,100,0,0,0.9979450914318467,5/23/2025 4:06
Homological Conjecture,Bass (1962),Commutative Algebra,Open,100,0.6735100746154785,0,2.34,0,0.33999999999999986,0.05,16080.942242844276,0.8700596547744424,1.1126890236658529,"[48.72469388374819, 27.192942710744223, 17.30302816999286, 13.149728348696149, 11.353266031027545]",10.42480469,0.1390857696533203,100,0,0,0.9984768141105306,5/23/2025 4:07
Sendov Conjecture,Sendov (1958),Analysis,Open,100,0.6695470809936523,0,1.43,0,0.07,0.1111111111111111,18965.658020151073,0.5024633056932768,1.1103215688796326,"[52.786233216218676, 29.58876744839997, 18.820802543574192, 14.30173149654568, 12.34750662797164]",5.102539063,0.12266659736633301,100,0,0,0.9983315478634813,5/23/2025 4:07
Yang-Mills Mass Gap,Clay Institute (2000),Mathematical Physics,Open,100,0.658848763,0,2.15,0,0.1499999999999999,0.047619047619047616,28867.081694648376,0.7790601369972412,1.1062987194587774,"[64.82669073424222, 36.66257067621425, 23.295633763064348, 17.697678631070914, 15.278248769116733]",28.66210938,0.12235474586486816,100,0,0,0.9980079930074786,5/23/2025 4:07
Hodge Conjecture,Hodge (1950),Algebraic Geometry,Open,100,0.6716504096984863,0,2.1,0,0.10000000000000009,0.052631579,33067.90647376041,0.2654040478429011,1.1055149248331966,"[69.31079246392892, 39.28796937214507, 24.954448871761965, 18.956371191892707, 16.364463969621536]",25.26855469,0.11998605728149414,100,0,0,0.9979183329678891,5/23/2025 4:07
Quantum Gravity Framework,Unknown (1960s),Mathematical Physics,Open,100,1.2815077304840088,0,1.9500000000000002,0,0.05,0.047619047619047616,13634.81019364495,0.8977821311156944,1.115587325373868,"[44.994205738607945, 24.987102463126117, 15.904372062108878, 12.08807013220327, 10.436976316865644]",30.78613281,0.2066044807434082,100,0,0,0.9986310912469569,5/23/2025 4:07
Rigorous QFT,Wightman (1956),Mathematical Physics,Open,100,0.7431771755218506,0,2.05,0,0.05,0.047619047619047616,7177.295335322646,0.8869938361221636,1.1332672677133167,"[33.169594525454464, 17.951075137324157, 11.43230783789822, 8.693398860510976, 7.507011215618178]",20.55664063,0.13701605796813965,100,0,0,0.9992820554100826,5/23/2025 4:07
Novikov Conjecture,Novikov (1970),Differential Topology,Open,100,0.6797921657562256,0,2.2,0,0.20000000000000018,0.045454545454545456,29014.511983122513,0.5034690008150894,1.1062652304980858,"[64.98924411010258, 36.757820907527005, 23.35583278422863, 17.743358714353533, 15.317669819781136]",15.60058594,0.1428532600402832,100,0,0,0.9980044976251785,5/23/2025 4:07
Unique Games Conjecture,Khot (2002),Complexity Theory,Open,100,0.694746733,0,1.38,0,0.1200000000000001,0.055555556,22682.508962164084,0.3780614731729113,1.1082844583876879,"[57.599879582554195, 32.42148958986707, 20.61381037024875, 15.662532076491791, 13.52191863484827]",4.223632813,0.1325516700744629,100,0,0,0.9981852761816745,5/23/2025 4:07
Exponential Time Hypothesis,Impagliazzo & Paturi (1999),Complexity Theory,Open,100,0.6983294486999512,0,1.5899999999999999,0,0.028000000000000247,0.055555556,34549.79709736184,0.19048458386222183,1.1053084844349939,"[70.82566035258523, 40.173960813455004, 25.51404254507373, 19.380964409014343, 16.730869788134278]",3.833007813,0.12692832946777344,100,0,0,0.9978909774434065,5/23/2025 4:07
Polynomial Hirsch Conjecture,Hirsch (1957),Discrete Geometry,Open,100,0.6886127,0,1.46,0,0.040000000000000036,0.055555556,26158.514774660962,0.42124758249433203,1.1070129528954402,"[61.76495925034031, 34.867362666805995, 22.160793968457394, 16.836518121866366, 14.535076761834217]",5.639648438,0.13083124160766602,100,0,0,0.9980776424950829,5/23/2025 4:07
Counting CSP Complexity,Unknown (2000s),Complexity Theory,Open,100,0.6732015609741211,0,1.39,0,0.1100000000000001,0.055555556,20256.858776371475,0.40197030534815037,1.1095111593520552,"[54.50643986045537, 30.6018609604057, 19.462232475218286, 14.788557331377634, 12.767655994643732]",4.39453125,0.1283857822418213,100,0,0,0.9982763031386068,5/23/2025 4:07
Sensitivity Conjecture,Nisan & Szegedy (1994),Boolean Functions,Solved by Huang,100,0.6546487808227539,0,1.03,0,0.030000000000000027,0.055555556,9.86864910777917e-15,0,2.302585091994046,"[10.0, 0.0, 0.0, 0.0, 0.0]",4.418945313,0.1469099521636963,100,0,0,0.9373998780369407,5/23/2025 4:07
DNA Quantum Information Storage,Various (2020s),Quantum Biology,Open,100,1.2485198974609375,0,2.17,0,0.16999999999999993,0.0625,33210.483851530866,0.25423077111575065,1.1054936952415055,"[69.45796159709042, 39.37406356064669, 25.00883047970811, 18.997633839866474, 16.40007199941291]",29.95605469,0.23137450218200684,100,0,0,0.9979156143361008,5/23/2025 4:07
Quantum Entanglement Biology,Various (2010s),Quantum Biology,Open,100,0.6944444179534912,0,2.23,0,0.22999999999999998,0.0625,11538.46277549159,0.9782194512209648,1.1191279518700814,"[41.53018117693977, 22.933590279926094, 14.601054697386989, 11.098734817727161, 9.583089184341977]",34.5703125,0.1329030990600586,100,0,0,0.9987948694085398,5/23/2025 4:07
Plant-Fungal Network Communication,Simard (2000s),Network Biology,Open,100,0.687100887,0,2.39,0,0.32828182845904497,0.0625,9676.102312493998,0.9517447416922383,1.1236097997523902,"[38.187742930973286, 20.946613527829626, 13.33861837141526, 10.140414365862325, 8.75595695062304]",26.39160156,0.12258505821228027,100,0,0,0.998973682,5/23/2025 4:07
Mycorrhizal Intelligence Framework,Stamets (2005),Fungal Intelligence,Open,100,0.6594069004058838,0,2.19,0,0.18999999999999995,0.05,11960.824798171863,0.9083121499465753,1.118310024353585,"[42.2511011638214, 23.361412517777783, 14.872692852828576, 11.304935205399259, 9.761060323359787]",30.24902344,0.1420450210571289,100,0,0,0.9987590386464047,5/23/2025 4:07
Crystalline Information Processing,Various (2015s),Mineralogy,Open,100,0.687220573,0,2.42,0,0.29828182845904516,0.090909091,31519.279793653022,0.6660981821753417,1.1057662043742276,"[67.69192979680041, 38.34063699197472, 24.35600021226221, 18.50228508014378, 15.972603831956826]",14.77050781,0.1289668083190918,100,0,0,0.9979491417318533,5/23/2025 4:07
Quasicrystal Computation Theory,Shechtman (1984),Mineralogy,Open,100,0.6642453670501709,0,2.23,0,0.22999999999999998,0.090909091,15758.653625384659,0.8744841487287746,1.1130147860571238,"[48.24971396064803, 26.912383864144715, 17.125204233778184, 13.014753373735976, 11.236773759274856]",15.94238281,0.13922572135925293,100,0,0,0.998495282,5/23/2025 4:07
Deep Ocean Bioluminescence Networks,Various (2010s),Marine Biology,Open,100,0.6869337558746338,0,2.32,0,0.31999999999999984,0.066666667,32642.609115702915,0.29703916871449687,1.1055800889672478,"[68.86995248004398, 39.03005073671695, 24.79152819851054, 18.832752733295187, 16.257785975236448]",21.99707031,0.1215813159942627,100,0,0,0.9979265571999203,5/23/2025 4:07
Abyssal Communication Systems,Various (2020s),Marine Biology,Open,100,1.1349890232086182,0,2.36,0,0.3582818284590452,0.066666667,25504.776039239376,0.8782683066404833,1.107217493569489,"[61.00317626174355, 34.420350578727195, 21.878138321870047, 16.622020873402533, 14.349965988856251]",24.56054688,0.21993494033813477,100,0,0,0.9980961600227211,5/23/2025 4:07
Deep Sea Thermodynamics,Various (2000s),Marine Physics,Open,100,1.395942211151123,0,2.28,0,0.2799999999999998,0.066666667,14931.965995916275,0.8847866419827188,1.1139216227282551,"[47.00940306206984, 26.17936452027383, 16.660508135747442, 12.662026997489487, 10.932346144764951]",20.14160156,0.22867059707641602,100,0,0,0.9985450840699176,5/23/2025 4:07
Hydrothermal Vent Syntax,Various (2015s),Marine Chemistry,Open,100,0.674994707,0,2.34,0,0.33999999999999986,0.058823529411764705,35200.03901284841,0.37162129565661345,1.1052272246359662,"[71.48036313769518, 40.5567317744318, 25.75577096905538, 19.564373320593322, 16.889142965800637]",23.95019531,0.15610671043395996,100,0,0,0.9978795743505714,5/23/2025 4:07
Zero-Point Energy Extraction,Various (1990s),Free Energy,Open,100,0.6757984161376953,0,2.02,0,0.020000000000000018,0.083333333,22954.892223881612,0.7242716359335144,1.108166600970905,"[57.936994074565604, 32.61962445666548, 20.73916609701873, 15.75766619252442, 13.604020968112218]",37.86621094,0.12873411178588867,100,0,0,0.9981759576582218,5/23/2025 4:07
Vacuum Energy Topology,Various (2000s),Quantum Vacuum,Open,100,0.6631863117218018,0,2.06,0,0.06,0.066666667,34369.79039348177,0.47080027463962654,1.1053319437299896,"[70.6433599668899, 40.06736417773594, 25.446721159480326, 19.329884671979347, 16.68679030744103]",40.47851563,0.14255356788635254,100,0,0,0.9978941968896525,5/23/2025 4:07
Casimir Force Optimization,Various (2005s),Quantum Electrodynamics,Open,100,0.6789119243621826,0,2,0,0,0.041666666666666664,10504.715117559048,0.9109518746985318,1.1214161174734694,"[39.71001401333113, 21.852287297212627, 13.914222016263707, 10.577357388387227, 9.133086627943806]",36.328125,0.13976120948791504,100,0,0,0.9988896129435506,5/23/2025 4:07
Energy From Spacetime,Various (2010s),Quantum Field Theory,Open,100,0.6726160049438477,0,2.04,0,0.040000000000000036,0.047619047619047616,33977.306356094065,0.1878516799261787,1.1053845999585215,"[70.24425493454783, 39.8339721861279, 25.299316878193014, 19.218041950830745, 16.59027500184269]",39.62402344,0.15369534492492676,100,0,0,0.9979013135707042,5/23/2025 4:07
Black Hole Information Paradox,Hawking (1975),Quantum Gravity,Open,100,1.058105707168579,0,2.92,0,0.20171817154095484,0.0625,26288.109602681845,0.8310353950445938,1.1069740412615052,"[61.914868615598905, 34.95531221184186, 22.21640269060142, 16.878717250662568, 14.57149444493651]",50.83007813,0.22438979148864746,100,0,0,0.9980740564703324,5/23/2025 4:07
Firewall Paradox Resolution,AMPS (2012),Black Hole Physics,Open,100,0.8203608989715576,0,2.13,0,0.1299999999999999,0.052631579,8345.221662870807,0.9240361685984615,1.1280453971251139,"[35.60477095524536, 19.406791807824064, 12.359215969987899, 9.396960502084333, 8.114270216899728]",47.31445313,0.1220545768737793,100,0,0,0.9991265544468304,5/23/2025 4:07
Hawking Radiation Unification,Various (2010s),Black Hole Thermodynamics,Open,100,0.6792032718658447,0,2.1,0,0.10000000000000009,0.038461538461538464,10504.715117559235,0.9651273154106679,1.121416117473466,"[39.7100140133314, 21.852287297212804, 13.914222016263835, 10.577357388387338, 9.133086627943896]",44.140625,0.12426447868347168,100,0,0,0.9988896129435503,5/23/2025 4:07
Black Hole Complementarity,Susskind (1993),Quantum Gravity,Open,100,0.6541171073913574,0,2.12,0,0.1200000000000001,0.0625,17258.814169004225,0.993600199,1.1116134124619412,"[50.42256454690536, 28.19516938637902, 17.938105393138077, 13.631766922303294, 11.76929423369297]",46.41113281,0.12487220764160156,100,0,0,0.9984134104017358,5/23/2025 4:07
Cambrian Explosion Mathematical Model,Various (2000s),Evolutionary Biology,Open,100,0.679610014,0,2.53,0,0.1882818284590453,0.047619047619047616,10531.236041793716,0.9655114307247279,1.121351673823637,"[39.75776274602609, 21.880675041191836, 13.93225893876836, 10.591049312741184, 9.144904219861694]",20.23925781,0.12416434288024902,100,0,0,0.9988870478295491,5/23/2025 4:07
Viral Evolution Prediction Framework,Various (2020s),Epidemiology,Open,100,0.6776669025421143,0,2.44,0,0.27828182845904514,0.076923077,35849.60414719415,0.18159634902783142,1.105151253151456,"[72.12852638634887, 40.935597283648605, 25.995015377148157, 19.745895639949513, 17.045787586290675]",15.50292969,0.13015460968017578,100,0,0,0.9978685255435028,5/23/2025 4:07
Protein Folding Complete Solution,Levinthal (1969),Biochemistry,Open,100,0.6928315162658691,0,2.33,0,0.33000000000000007,0.076923077,18560.79954199642,0.9857639450807067,1.1106032056105017,"[52.235233298969014, 29.264066671839085, 18.61517659807014, 14.145664486399872, 12.212813871427924]",23.09570313,0.12297677993774414,100,0,0,0.9983499958446559,5/23/2025 4:07
Telomere Regulation Mechanisms,Various (1990s),Cellular Biology,Open,100,0.6773993968963623,0,2.4699999999999998,0,0.24828182845904534,0.058823529411764705,35850.24604020692,0.17991979326450358,1.1051511805484813,"[72.12916405043818, 40.935969972316855, 25.995250712480313, 19.74607419541739, 17.04594167041566]",16.2109375,0.1454002857208252,100,0,0,0.9978685147894515,5/23/2025 4:07
Epigenetic Inheritance Mathematics,Various (2010s),Genetics,Open,100,1.2688910961151123,0,2.26,0,0.2599999999999998,0.1111111111111111,10085.516853714895,0.9104338633899582,1.122480414519295,"[38.9474185634632, 21.39874095333407, 13.626008448165296, 10.358573031714926, 8.944252056877808]",18.38378906,0.23525071144104004,100,0,0,0.9989311709170494,5/23/2025 4:07
Climate Tipping Points Prediction,Various (2010s),Climate Science,Open,100,0.6810455322265625,0,2.24,0,0.2400000000000002,0.0625,22954.892223882067,0.9310989624117469,1.1081666009708986,"[57.93699407456588, 32.61962445666568, 20.739166097018913, 15.757666192524598, 13.604020968112414]",34.27734375,0.13594436645507812,100,0,0,0.998175958,5/23/2025 4:08
Ocean Current Stability Equations,Various (2020s),Oceanography,Open,100,0.677093506,0,2.16,0,0.16000000000000014,0.076923077,17258.81416900427,0.8520026781878134,1.1116134124619421,"[50.42256454690546, 28.19516938637907, 17.938105393138095, 13.63176692230331, 11.769294233692985]",28.95507813,0.12890148162841797,100,0,0,0.9984134104017358,5/23/2025 4:08
Magnetic Pole Reversal Dynamics,Various (2000s),Geophysics,Open,100,0.683652401,0,2.21,0,0.20999999999999996,0.090909091,24809.18154134502,0.8943703134428397,1.107451182927343,"[60.18212023748595, 33.93839460788241, 21.573350848347573, 16.390725332755775, 14.15035740073595]",32.27539063,0.13591694831848145,100,0,0,0.9981166831761624,5/23/2025 4:08
Earth's Core Dynamo Model,Various (1990s),Geophysics,Open,100,0.6740562915802002,0,2.19,0,0.18999999999999995,0.090909091,35637.22751291332,0.048248620995905656,1.1051755388554545,"[71.91724256791264, 40.81210620423368, 25.91703565746538, 19.686730157313995, 16.994730810539707]",31.07910156,0.144242525,100,0,0,0.9978721012540955,5/23/2025 4:08
Atmospheric Turbulence Framework,Various (2005s),Atmospheric Science,Open,100,0.7024798393249512,0,2.38,0,0.3382818284590452,0.05,12046.239030074717,0.9833148087812293,1.1181518461527613,"[42.39539118798193, 23.447010225812292, 14.927034424272403, 11.3461857373248, 9.796663496175995]",25.9765625,0.1396336555480957,100,0,0,0.9987519802140171,5/23/2025 4:08
Neural Binding Problem,Various (1990s),Neuroscience,Open,100,0.6649024486541748,0,2.01,0,0.01,0.076923077,7913.497441588794,0.8967067276490328,1.129800426,"[34.72490834361435, 18.881299445474195, 12.02473551835043, 9.14306895480703, 7.895131378165713]",36.30371094,0.14716744422912598,100,0,0,0.9991815202252375,5/23/2025 4:08
Integrated Information Theory Formalization,Tononi (2004),Consciousness Studies,Open,100,0.7925875186920166,0,2.04,0,0.040000000000000036,0.045454545454545456,22546.15654508422,0.7357064854511309,1.1083448104122224,"[57.43038480475599, 32.32185935680093, 20.55077379379832, 15.614692567901182, 13.480632276113731]",39.74609375,0.20456433296203613,100,0,0,0.9981900042076329,5/23/2025 4:08
Global Workspace Model Integration,Baars (1988),Cognitive Science,Open,100,1.105790615081787,0,2.23,0,0.22999999999999998,0.055555556,26028.520129621906,0.865241402,1.1070525170509589,"[61.61422412932447, 34.77892310827307, 22.104874193312327, 16.794082835717493, 14.49845524419659]",34.20410156,0.1417083740234375,100,0,0,0.9980812673408357,5/23/2025 4:08
Orchestrated Objective Reduction Mathematics,Penrose & Hameroff (1990s),Quantum Consciousness,Open,100,0.7019186019897461,0,2.09,0,0.09,0.045454545454545456,32794.44382338327,0.5934503351073716,1.1055565045677411,"[69.02765534074547, 39.122321237810176, 24.84981412838693, 18.87697814245711, 16.295950837551338]",43.9453125,0.1278064250946045,100,0,0,0.9979236011492626,5/23/2025 4:08
Subjective Experience Formalism,Various (2000s),Philosophy of Mind,Open,100,0.6584532260894775,0,2.06,0,0.06,0.052631579,33765.20437,0.20743415341720112,1.1054139368462863,"[70.02763988783954, 39.70728491124881, 25.219301639859413, 19.157330239153705, 16.537883405445225]",42.33398438,0.1413123607635498,100,0,0,0.9979052159151544,5/23/2025 4:08
Information-Energy Equivalence Principles,Various (2010s),Information Physics,Open,100,0.6817667484283447,0,2.15,0,0.1499999999999999,0.05,21521.311504969923,0.7627778406766934,1.108829282640627,"[56.140160308946584, 31.563193425063492, 20.07070273509408, 15.250353837505116, 13.166199997838067]",28.78417969,0.124145508,100,0,0,0.9982269584514418,5/23/2025 4:08
Algorithmic Information Compression Limits,Various (2000s),Information Theory,Open,100,0.6679537296295166,0,2.4299999999999997,0,0.2882818284590454,0.052631579,24575.512857336376,0.6751586514152635,1.1075336450739786,"[59.90380056875995, 33.774983359192646, 21.47000143294495, 16.312295296487623, 14.082671880186838]",13.91601563,0.13120031356811523,100,0,0,0.9981237765001054,5/23/2025 4:08
Minimum Energy Computation Framework,Landauer (1961),Information Thermodynamics,Open,100,0.6851694583892822,0,2.46,0,0.2582818284590451,0.037037037037037035,29073.19419676593,0.7716082904668573,1.106252039360918,"[65.05383395264192, 36.79566649378396, 23.379751179705796, 17.761508381192744, 15.333332630242229]",15.47851563,0.12778186798095703,100,0,0,0.9980031141674238,5/23/2025 4:08
Self-Organizing Criticality Universal Laws,Bak (1987),Complex Systems,Open,100,0.6834108829498291,0,2.36,0,0.3582818284590452,0.0625,17523.923357159834,0.9923177076615886,1.1113937358277648,"[50.79689446574882, 28.415995129051392, 18.078003800196438, 13.737951247034893, 11.860937092347715]",24.68261719,0.13383984565734863,100,0,0,0.9983999630515121,5/23/2025 4:08
Information-Theoretic Reality Model,Wheeler (1990),Quantum Information,Open,100,1.2834382057189941,0,2.18,0,0.18000000000000016,0.05,34745.81792636681,0.10513492654095483,1.1052834203298707,"[71.02365335607747, 40.28972597823669, 25.58715274176186, 19.43643620688115, 16.778739370186084]",29.76074219,0.20518875122070312,100,0,0,0.9978875028460038,5/23/2025 4:08
